epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1138.32,1.93949,1.96113,1.47598,0.33875,0.16667,0.11666,0.03578,2.75561,3.03625,2.2252,0.0014588,0.0014588,0.0014588
43,1168.15,2.064,2.00939,1.5792,0.37044,0.22222,0.16244,0.03161,2.86704,3.16616,2.2849,0.0014456,0.0014456,0.0014456
44,1198.94,1.97699,1.99268,1.52893,0.51993,0.16667,0.15741,0.03684,2.89626,3.10092,2.42478,0.0014324,0.0014324,0.0014324
45,1231.13,1.95108,1.96996,1.48176,0.47542,0.2037,0.16516,0.0382,2.80689,3.0356,2.31062,0.0014192,0.0014192,0.0014192
46,1265.17,2.00812,1.99801,1.50375,0.40607,0.2037,0.15439,0.03641,2.8121,3.18372,2.2922,0.001406,0.001406,0.001406
47,1297.74,1.91965,1.92255,1.49843,0.27627,0.2037,0.13372,0.02821,2.77363,3.23809,2.25138,0.0013928,0.0013928,0.0013928
48,1327.68,1.94853,1.85579,1.50661,0.14831,0.14815,0.09866,0.03254,2.76404,3.16932,2.22127,0.0013796,0.0013796,0.0013796
49,1358.97,1.92577,1.86451,1.50046,0.20387,0.14815,0.11544,0.03659,2.82182,3.08882,2.21969,0.0013664,0.0013664,0.0013664
50,1390.77,1.84226,1.66982,1.4034,0.23999,0.2037,0.11908,0.03349,2.89446,2.99726,2.22953,0.0013532,0.0013532,0.0013532
51,1422.13,1.95097,1.96391,1.52066,0.2399,0.2037,0.10988,0.03347,2.81798,2.9642,2.19988,0.00134,0.00134,0.00134
52,1453.52,1.84569,1.75152,1.39241,0.24259,0.24074,0.10699,0.03185,2.86049,2.97292,2.28644,0.0013268,0.0013268,0.0013268
53,1481.98,1.91433,1.76065,1.4771,0.21525,0.18519,0.08384,0.02212,2.86033,3.21704,2.28938,0.0013136,0.0013136,0.0013136
54,1509.48,1.87108,1.78479,1.48395,0.18895,0.16667,0.07023,0.01939,2.87531,3.38324,2.30609,0.0013004,0.0013004,0.0013004
55,1538.82,1.85406,1.80706,1.4676,0.19523,0.18519,0.07515,0.02331,2.89317,3.25138,2.34772,0.0012872,0.0012872,0.0012872
56,1567.09,1.88726,1.78887,1.46653,0.23995,0.2037,0.08246,0.02341,2.82438,3.15663,2.30902,0.001274,0.001274,0.001274
57,1594.21,1.88098,1.69218,1.48302,0.228,0.18519,0.08102,0.02472,2.82869,3.29583,2.21221,0.0012608,0.0012608,0.0012608
58,1620.03,1.85609,1.68659,1.44561,0.17843,0.14815,0.0618,0.01855,2.82049,3.40457,2.1473,0.0012476,0.0012476,0.0012476
59,1648.4,1.78329,1.63651,1.39,0.16871,0.19925,0.06586,0.01902,2.82914,3.32237,2.12355,0.0012344,0.0012344,0.0012344
60,1676.12,1.85487,1.79213,1.44017,0.14319,0.2037,0.07092,0.02872,2.63494,3.25272,1.96935,0.0012212,0.0012212,0.0012212
61,1702.67,1.82382,1.69492,1.39359,0.31633,0.2037,0.10836,0.04704,2.55869,3.21085,1.94029,0.001208,0.001208,0.001208
62,1729.97,1.71579,1.60972,1.353,0.26049,0.2037,0.1009,0.04512,2.58556,3.37774,1.94743,0.0011948,0.0011948,0.0011948
63,1757.57,1.80722,1.60643,1.37215,0.32142,0.18519,0.11789,0.05432,2.628,3.17676,1.98166,0.0011816,0.0011816,0.0011816
64,1783.51,1.75319,1.61461,1.36067,0.46867,0.2037,0.17657,0.0838,2.58274,2.87165,1.92775,0.0011684,0.0011684,0.0011684
65,1812.48,1.65608,1.6507,1.36914,0.28182,0.25926,0.18603,0.08995,2.54621,2.73684,1.90919,0.0011552,0.0011552,0.0011552
66,1839.83,1.69637,1.52414,1.33752,0.27444,0.21723,0.17789,0.08744,2.67188,2.71605,2.01917,0.001142,0.001142,0.001142
67,1864.98,1.7435,1.5985,1.42233,0.28699,0.2037,0.15886,0.07892,2.7159,2.78106,2.10291,0.0011288,0.0011288,0.0011288
68,1889.81,1.66446,1.50867,1.31556,0.20172,0.14815,0.11031,0.05793,2.6482,2.92748,2.07696,0.0011156,0.0011156,0.0011156
69,1914.89,1.69524,1.59236,1.34354,0.27952,0.15821,0.09596,0.04362,2.59762,3.05246,2.08284,0.0011024,0.0011024,0.0011024
70,1940.32,1.66865,1.50357,1.35053,0.27323,0.16667,0.08658,0.03469,2.56808,3.1382,2.08264,0.0010892,0.0010892,0.0010892
71,1966.04,1.72881,1.605,1.3733,0.19497,0.24074,0.06996,0.03019,2.61484,3.05672,2.15275,0.001076,0.001076,0.001076
72,1991.15,1.72172,1.48546,1.33955,0.21799,0.2037,0.07113,0.03192,2.65041,2.93617,2.15185,0.0010628,0.0010628,0.0010628
73,2016.32,1.69023,1.52997,1.36538,0.2087,0.22222,0.07081,0.02938,2.6516,2.86683,2.11434,0.0010496,0.0010496,0.0010496
74,2049.22,1.69432,1.53935,1.37988,0.19658,0.24074,0.08764,0.03354,2.68718,2.92768,2.14656,0.0010364,0.0010364,0.0010364
75,2076.92,1.69027,1.49884,1.3795,0.15292,0.25926,0.08451,0.03592,2.60059,2.966,2.08531,0.0010232,0.0010232,0.0010232
76,2108.22,1.70477,1.57505,1.34232,0.17099,0.2037,0.08015,0.03286,2.64812,3.05033,2.09969,0.00101,0.00101,0.00101
77,2138.4,1.67202,1.40234,1.32058,0.1646,0.18519,0.07543,0.03248,2.62749,3.06144,2.06011,0.0009968,0.0009968,0.0009968
78,2167.92,1.5898,1.43635,1.28383,0.24278,0.16667,0.07236,0.02777,2.65713,3.04845,2.10956,0.0009836,0.0009836,0.0009836
79,2198.73,1.50732,1.33475,1.25055,0.32697,0.16667,0.08806,0.03259,2.6922,2.99412,2.16687,0.0009704,0.0009704,0.0009704
80,2230.52,1.61989,1.52468,1.30272,0.26545,0.16667,0.09854,0.03742,2.64605,2.88638,2.1526,0.0009572,0.0009572,0.0009572
81,2260.39,1.60367,1.37842,1.26882,0.34772,0.2037,0.11094,0.04431,2.62879,2.94179,2.15388,0.000944,0.000944,0.000944
82,2289.97,1.58135,1.40076,1.30839,0.35384,0.2037,0.12044,0.04441,2.65046,2.90826,2.1585,0.0009308,0.0009308,0.0009308
83,2320.2,1.60596,1.44256,1.29547,0.26862,0.22222,0.10864,0.03836,2.64724,2.96666,2.21556,0.0009176,0.0009176,0.0009176
84,2349.96,1.57092,1.36406,1.31199,0.18092,0.25926,0.10107,0.03348,2.67388,3.15107,2.22982,0.0009044,0.0009044,0.0009044
85,2379.32,1.51223,1.32544,1.26983,0.23327,0.27778,0.098,0.03385,2.68398,3.21122,2.23589,0.0008912,0.0008912,0.0008912
86,2409.89,1.5493,1.32477,1.27687,0.28804,0.22222,0.1036,0.03517,2.72841,3.1863,2.28587,0.000878,0.000878,0.000878
87,2440.97,1.62176,1.35656,1.27468,0.24199,0.22222,0.10097,0.03584,2.7191,3.12007,2.27504,0.0008648,0.0008648,0.0008648
88,2469.38,1.56474,1.2972,1.23738,0.22422,0.25926,0.10037,0.03694,2.66365,3.04168,2.20541,0.0008516,0.0008516,0.0008516
89,2497.6,1.57455,1.31648,1.23786,0.24415,0.22222,0.10128,0.03752,2.63596,2.99484,2.15928,0.0008384,0.0008384,0.0008384
90,2527.83,1.48573,1.32208,1.24737,0.19099,0.24074,0.09257,0.03671,2.60744,2.83168,2.14491,0.0008252,0.0008252,0.0008252
91,2564.44,1.54387,1.30681,1.26937,0.30646,0.2037,0.10694,0.0385,2.65393,2.75775,2.16771,0.000812,0.000812,0.000812
92,2593.29,1.52265,1.2743,1.22832,0.27426,0.22222,0.11081,0.04342,2.65245,2.72253,2.17724,0.0007988,0.0007988,0.0007988
93,2619.33,1.51694,1.27581,1.20477,0.31199,0.2037,0.11002,0.04427,2.65701,2.72761,2.18792,0.0007856,0.0007856,0.0007856
94,2644.74,1.52092,1.27246,1.22968,0.35504,0.2037,0.11508,0.04756,2.64142,2.7662,2.19328,0.0007724,0.0007724,0.0007724
95,2670.63,1.47507,1.21312,1.21052,0.36208,0.2037,0.15425,0.05903,2.67481,2.82433,2.21755,0.0007592,0.0007592,0.0007592
96,2696.16,1.48688,1.2334,1.22052,0.39448,0.2037,0.15744,0.05609,2.63855,2.94456,2.18079,0.000746,0.000746,0.000746
97,2722.14,1.4939,1.21595,1.20329,0.39068,0.16667,0.14123,0.04812,2.66786,3.15826,2.15483,0.0007328,0.0007328,0.0007328
98,2747.92,1.45747,1.17675,1.17738,0.27526,0.2037,0.1437,0.04968,2.70071,3.17378,2.19482,0.0007196,0.0007196,0.0007196
99,2773.87,1.40739,1.1648,1.18249,0.25299,0.25926,0.1637,0.04803,2.69658,3.16503,2.20037,0.0007064,0.0007064,0.0007064
100,2799.71,1.42156,1.11851,1.17106,0.33499,0.22222,0.18543,0.06289,2.64532,3.09012,2.18074,0.0006932,0.0006932,0.0006932
101,2825.18,1.48857,1.23695,1.2213,0.31628,0.27778,0.19136,0.05898,2.59928,3.03868,2.1273,0.00068,0.00068,0.00068
102,2850.78,1.4778,1.2882,1.21485,0.32723,0.22222,0.16577,0.05253,2.63624,2.97912,2.14701,0.0006668,0.0006668,0.0006668
103,2876.48,1.51802,1.21311,1.27537,0.26732,0.24074,0.14194,0.05018,2.62057,2.98412,2.15358,0.0006536,0.0006536,0.0006536
104,2902.19,1.43837,1.16188,1.24542,0.2269,0.24074,0.12197,0.04598,2.64854,2.94445,2.19138,0.0006404,0.0006404,0.0006404
105,2928.21,1.40862,1.1463,1.18795,0.22094,0.27778,0.12581,0.04922,2.65516,2.89581,2.19657,0.0006272,0.0006272,0.0006272
106,2954.04,1.46022,1.1874,1.20678,0.23585,0.27778,0.1435,0.05779,2.65169,2.78992,2.19731,0.000614,0.000614,0.000614
107,2980.15,1.44182,1.13839,1.1972,0.43027,0.16667,0.13588,0.05088,2.62808,2.84726,2.18831,0.0006008,0.0006008,0.0006008
108,3006.22,1.40858,1.13642,1.15744,0.50988,0.18519,0.15966,0.05091,2.64407,2.92426,2.17362,0.0005876,0.0005876,0.0005876
109,3032.64,1.42461,1.15039,1.16357,0.46408,0.18519,0.1537,0.04583,2.69805,3.0029,2.21095,0.0005744,0.0005744,0.0005744
110,3058.44,1.44804,1.12519,1.17648,0.27347,0.22307,0.13531,0.03901,2.74842,3.1619,2.26417,0.0005612,0.0005612,0.0005612
111,3083.6,1.35683,1.11858,1.16303,0.23246,0.22222,0.09175,0.03105,2.75513,3.16344,2.26096,0.000548,0.000548,0.000548
112,3108.88,1.35771,1.08558,1.15934,0.21656,0.26109,0.08892,0.02842,2.75641,3.13874,2.26642,0.0005348,0.0005348,0.0005348
113,3134.68,1.44462,1.09923,1.18902,0.22386,0.27778,0.10391,0.03605,2.73705,3.0485,2.27871,0.0005216,0.0005216,0.0005216
114,3160.38,1.43639,1.12492,1.20776,0.28582,0.25926,0.12833,0.04263,2.70785,2.93833,2.28568,0.0005084,0.0005084,0.0005084
115,3186.58,1.35957,1.09014,1.17413,0.35438,0.2037,0.14492,0.05031,2.67304,2.87293,2.2664,0.0004952,0.0004952,0.0004952
116,3214.52,1.36575,1.10337,1.16103,0.33472,0.2037,0.14312,0.04891,2.63795,2.90366,2.24664,0.000482,0.000482,0.000482
117,3242.37,1.33575,1.04942,1.13965,0.38402,0.24074,0.15022,0.04663,2.66391,2.95547,2.23481,0.0004688,0.0004688,0.0004688
118,3270.33,1.31533,1.06674,1.14228,0.33854,0.24074,0.14898,0.04337,2.6814,2.98575,2.22548,0.0004556,0.0004556,0.0004556
119,3298.13,1.30601,1.04998,1.12344,0.34099,0.24074,0.1227,0.03898,2.69505,3.08761,2.22184,0.0004424,0.0004424,0.0004424
120,3326.63,1.31047,1.04676,1.1155,0.31827,0.23354,0.12356,0.03959,2.713,3.12144,2.24119,0.0004292,0.0004292,0.0004292
121,3354.66,1.29055,1.00287,1.14382,0.27627,0.22222,0.1236,0.03976,2.72079,3.06994,2.26356,0.000416,0.000416,0.000416
122,3382.01,1.26022,1.01618,1.07277,0.26666,0.2037,0.13199,0.04133,2.69225,3.0589,2.23511,0.0004028,0.0004028,0.0004028
123,3409.62,1.36373,1.05498,1.10742,0.29868,0.2037,0.13016,0.04464,2.666,3.02577,2.21384,0.0003896,0.0003896,0.0003896
124,3437.68,1.28845,0.98765,1.10095,0.30453,0.22222,0.13746,0.04333,2.6523,3.02139,2.20935,0.0003764,0.0003764,0.0003764
125,3465.16,1.32637,1.00303,1.12633,0.30356,0.24074,0.16282,0.04634,2.65113,2.99724,2.21388,0.0003632,0.0003632,0.0003632
126,3492.11,1.34434,1.02763,1.09771,0.31072,0.24074,0.15022,0.04623,2.66579,2.95593,2.23352,0.00035,0.00035,0.00035
127,3517.94,1.27851,0.99383,1.1038,0.31749,0.27778,0.14186,0.04736,2.67661,2.92242,2.24948,0.0003368,0.0003368,0.0003368
128,3543.77,1.2877,1.02768,1.12453,0.33585,0.2963,0.15169,0.0526,2.67057,2.97564,2.25519,0.0003236,0.0003236,0.0003236
129,3569.55,1.31529,1.01619,1.13749,0.31677,0.2963,0.14324,0.05157,2.68027,3.03443,2.26777,0.0003104,0.0003104,0.0003104
130,3595.31,1.20422,0.94763,1.08723,0.33058,0.25926,0.13829,0.05159,2.68862,3.10435,2.28221,0.0002972,0.0002972,0.0002972
131,3621.29,1.25737,0.98411,1.07358,0.31411,0.24074,0.1322,0.05108,2.69965,3.13871,2.2939,0.000284,0.000284,0.000284
132,3647.13,1.29378,1.00745,1.1401,0.28326,0.24074,0.14195,0.06035,2.67618,3.1498,2.28324,0.0002708,0.0002708,0.0002708
133,3673.01,1.1804,0.95779,1.10206,0.297,0.24074,0.1546,0.0645,2.66618,3.14987,2.29688,0.0002576,0.0002576,0.0002576
134,3699.04,1.14572,0.8862,1.07298,0.22686,0.27778,0.15459,0.06569,2.63758,3.09649,2.25082,0.0002444,0.0002444,0.0002444
135,3724.92,1.18916,0.9209,1.07946,0.23569,0.27416,0.16565,0.07197,2.62046,3.08014,2.23224,0.0002312,0.0002312,0.0002312
136,3750.8,1.22018,0.93873,1.11169,0.22819,0.27778,0.16195,0.0689,2.63227,3.07985,2.23245,0.000218,0.000218,0.000218
137,3777.1,1.27412,0.9908,1.1213,0.22263,0.27778,0.15743,0.06841,2.66211,3.09659,2.24987,0.0002048,0.0002048,0.0002048
138,3803.21,1.24922,0.95515,1.09728,0.32982,0.2037,0.15321,0.0633,2.6841,3.11391,2.27395,0.0001916,0.0001916,0.0001916
139,3828.8,1.21864,0.92364,1.07304,0.32478,0.2037,0.15234,0.06125,2.68695,3.14918,2.28059,0.0001784,0.0001784,0.0001784
140,3854.67,1.33971,1.01829,1.11449,0.28304,0.2037,0.14555,0.0596,2.72053,3.20303,2.31569,0.0001652,0.0001652,0.0001652
141,3880.48,1.28783,1.02156,1.17777,0.28156,0.22222,0.13201,0.0499,2.74895,3.25104,2.34679,0.000152,0.000152,0.000152
142,3905.96,1.29916,1.0212,1.14757,0.24007,0.2037,0.10576,0.04315,2.77291,3.27803,2.36319,0.0001388,0.0001388,0.0001388
143,3932.08,1.35166,1.05153,1.1249,0.27711,0.19886,0.10122,0.04124,2.79333,3.32338,2.36019,0.0001256,0.0001256,0.0001256
144,3957.92,1.22028,0.96055,1.09409,0.30178,0.21621,0.11005,0.04071,2.81259,3.33347,2.36746,0.0001124,0.0001124,0.0001124
145,3983.43,1.33762,1.11694,1.16206,0.29856,0.22222,0.10736,0.03782,2.81938,3.33724,2.36228,9.92e-05,9.92e-05,9.92e-05
146,4009.21,1.32581,1.08033,1.13311,0.27739,0.22222,0.10808,0.03807,2.82814,3.31265,2.36892,8.6e-05,8.6e-05,8.6e-05
147,4034.76,1.1578,0.92097,1.07126,0.27879,0.22222,0.1044,0.03511,2.8266,3.31754,2.36559,7.28e-05,7.28e-05,7.28e-05
148,4059.95,1.22201,0.98529,1.10313,0.29322,0.22222,0.10333,0.03472,2.82718,3.32059,2.37025,5.96e-05,5.96e-05,5.96e-05
149,4085.38,1.16497,0.90623,1.11533,0.27762,0.2037,0.1051,0.03494,2.82046,3.28577,2.37277,4.64e-05,4.64e-05,4.64e-05
150,4110.65,1.1468,0.92444,1.10078,0.30815,0.2037,0.10969,0.0368,2.81527,3.2459,2.37304,3.32e-05,3.32e-05,3.32e-05
