epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,19162.6,1.44611,2.70202,1.17,0,0,0,0,0.12314,0.72048,0.10855,0.0014456,0.0014456,0.0014456
16,20439.8,1.27301,2.50443,1.06437,0,0,0,0,0.12148,0.39211,0.11214,0.001406,0.001406,0.001406
17,21710.1,1.21747,2.48171,0.98611,0,0,0,0,0.10048,0.33397,0.10515,0.0013664,0.0013664,0.0013664
18,22986.6,1.22562,2.49865,1.07502,0,0,0,0,0.10053,0.32014,0.0984,0.0013268,0.0013268,0.0013268
19,24278.3,1.21822,2.59551,1.05736,0,0,0,0,0.11083,0.25952,0.10847,0.0012872,0.0012872,0.0012872
20,25552.9,1.27578,2.74315,1.11909,0,0,0,0,0.106,0.32767,0.10603,0.0012476,0.0012476,0.0012476
21,26834.3,1.31154,2.81544,1.10931,0,0,0,0,0.09863,0.30506,0.10044,0.001208,0.001208,0.001208
22,28115.7,1.351,2.81997,1.12735,0,0,0,0,0.08751,0.30591,0.09123,0.0011684,0.0011684,0.0011684
23,29381.9,1.16952,2.49484,1.01592,0,0,0,0,0.09972,0.29088,0.09982,0.0011288,0.0011288,0.0011288
24,30666,1.37052,2.71136,1.12104,0,0,0,0,0.07835,0.27917,0.09183,0.0010892,0.0010892,0.0010892
25,31938.3,1.23199,2.45986,1.01983,0,0,0,0,0.07767,0.28204,0.08924,0.0010496,0.0010496,0.0010496
26,33203.4,1.03742,2.20982,0.91695,0,0,0,0,0.07959,0.49147,0.0869,0.00101,0.00101,0.00101
27,34489.2,1.0639,2.17196,0.95876,0,0,0,0,0.08161,0.25459,0.0943,0.0009704,0.0009704,0.0009704
28,35775.5,1.24832,2.56334,1.02481,0,0,0,0,0.07465,0.29316,0.08726,0.0009308,0.0009308,0.0009308
29,37043.6,1.11879,2.42255,1.00422,0,0,0,0,0.08456,0.44108,0.09426,0.0008912,0.0008912,0.0008912
30,38326.6,1.219,2.52559,1.022,0.07692,0.04,0.0175,0.00525,0.07074,0.26109,0.0863,0.0008516,0.0008516,0.0008516
31,39603.2,1.09513,2.34442,0.97601,0,0,0,0,0.07596,0.23921,0.08701,0.000812,0.000812,0.000812
32,40875.4,1.11267,2.49816,0.97156,0,0,0,0,0.07613,0.30778,0.09131,0.0007724,0.0007724,0.0007724
33,42156.3,1.16969,2.41437,1.02491,0,0,0,0,0.07926,0.26446,0.08777,0.0007328,0.0007328,0.0007328
34,43462.9,0.97678,2.05101,0.88381,0,0,0,0,0.07423,0.24287,0.08669,0.0006932,0.0006932,0.0006932
35,44741.8,1.06383,2.39128,0.96974,0,0,0,0,0.07635,0.25836,0.08444,0.0006536,0.0006536,0.0006536
36,46029.4,1.00992,2.19675,0.88969,0,0,0,0,0.07618,0.2508,0.08413,0.000614,0.000614,0.000614
37,47298.5,1.04035,2.32294,0.93048,0,0,0,0,0.07651,0.25303,0.08709,0.0005744,0.0005744,0.0005744
38,48570.6,0.93909,2.08044,0.83395,0,0,0,0,0.07647,0.2702,0.08769,0.0005348,0.0005348,0.0005348
39,49854.2,1.17443,2.61441,1.07659,0,0,0,0,0.07948,0.33216,0.08845,0.0004952,0.0004952,0.0004952
40,51117.8,1.01399,2.12405,0.90071,0.00604,0.08,0.00058,0.00014,0.07811,0.35823,0.09088,0.0004556,0.0004556,0.0004556
41,52373.7,0.59468,1.47444,0.63549,0,0,0,0,0.07428,0.27488,0.08898,0.000416,0.000416,0.000416
42,53628.3,0.59319,1.44205,0.58864,0.02564,0.04,0.0014,0.00042,0.0764,0.262,0.08599,0.0003764,0.0003764,0.0003764
43,54869.8,0.52638,1.30104,0.54337,0,0,0,0,0.07371,0.22124,0.08263,0.0003368,0.0003368,0.0003368
44,56127.7,0.60699,1.44984,0.61017,0,0,0,0,0.07164,0.21173,0.08121,0.0002972,0.0002972,0.0002972
45,57389.2,0.47931,1.26428,0.48793,0.02632,0.04,0.00113,0.00011,0.07088,0.2298,0.08062,0.0002576,0.0002576,0.0002576
46,58634.5,0.52143,1.30297,0.51706,0,0,0,0,0.06699,0.20984,0.0765,0.000218,0.000218,0.000218
47,59884.3,0.5574,1.35326,0.54886,0,0,0,0,0.07216,0.21753,0.07953,0.0001784,0.0001784,0.0001784
48,61107.1,0.52158,1.34323,0.55499,0,0,0,0,0.07044,0.20885,0.07742,0.0001388,0.0001388,0.0001388
49,62321.7,0.55479,1.38709,0.55301,0,0,0,0,0.06896,0.20765,0.0774,9.92e-05,9.92e-05,9.92e-05
50,63548.5,0.55749,1.42554,0.58395,0,0,0,0,0.07186,0.2131,0.07692,5.96e-05,5.96e-05,5.96e-05
