epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1301.6,0.95584,55.5486,0.87336,3e-05,0.28,2e-05,1e-05,0.11448,97.8997,0.13357,0.00066369,0.00066369,0.00066369
2,2561.61,1.32383,17.8077,1.14181,3e-05,0.04,0,0,0.13786,16.9519,0.31199,0.00130402,0.00130402,0.00130402
3,3828.02,1.28742,3.62884,1.13361,0,0,0,0,0.15028,1.99735,0.14043,0.00191794,0.00191794,0.00191794
4,5094.31,1.32928,2.43434,1.11453,0,0,0,0,0.14379,1.20166,0.18446,0.0018812,0.0018812,0.0018812
5,6365.03,1.75016,2.77139,1.3442,0,0,0,0,0.14269,0.54291,0.1189,0.0018416,0.0018416,0.0018416
6,7662.31,1.52262,2.57512,1.22447,0,0,0,0,0.13831,0.7255,0.11867,0.001802,0.001802,0.001802
7,8936.5,1.53081,2.56035,1.30913,0,0,0,0,0.13041,1.04556,0.13355,0.0017624,0.0017624,0.0017624
8,10201.7,1.17106,2.12773,0.93555,0,0,0,0,0.12332,0.39601,0.11757,0.0017228,0.0017228,0.0017228
9,11454.8,1.2822,2.25646,1.02274,0,0,0,0,0.12763,0.31482,0.11422,0.0016832,0.0016832,0.0016832
10,12736.4,1.34238,2.56846,1.11778,0,0,0,0,0.11253,0.52736,0.10555,0.0016436,0.0016436,0.0016436
11,14046.9,1.36613,2.51259,1.1133,0,0,0,0,0.12709,0.42138,0.11215,0.001604,0.001604,0.001604
12,15328.4,1.51941,2.89097,1.21607,0,0,0,0,0.13206,0.33574,0.11733,0.0015644,0.0015644,0.0015644
13,16614.9,1.60435,2.98625,1.27302,0,0,0,0,0.13108,0.42069,0.1149,0.0015248,0.0015248,0.0015248
14,17885.2,1.34841,2.63491,1.10223,0,0,0,0,0.12432,0.38135,0.10929,0.0014852,0.0014852,0.0014852
